Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00478670623240344,0.00141981128680177,0.0505239077176535,0,0,0,0.0306792270125578,2.2266510056133E-05,-2.6318583761649E-07,1.83638592892823E-07,1.55367220548952E-05,1.26586485241028E-06,8.58669326263691E-06,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/base_link.STL,,Mirrorbase-3,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_metacarpal_Link,1.52303696287041E-05,-0.00707240283482268,-0.00420839832903629,0,0,0,0.00116017537569294,1.59238866130872E-07,4.69114607598504E-09,4.93233725002147E-10,1.60911967461756E-07,1.48144948560702E-08,5.13544258620214E-08,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/thumb_metacarpal_Link.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/thumb_metacarpal_Link.STL,,Mirrorthumb_metacarpal_link-3,thumb_metacarpal,thumb_metacarpal_joint,thumb_metacarpal_joint,revolute,0.0045,-0.019,0.027825,0,0,0.16787,base_link,0,0,1,0.5,2.6175,0,1.5184,,,,,,,,
thump_proximal_Link,-3.41001513141231E-07,-0.0250090688174992,-0.0017505675193664,0,0,0,0.0134370512314493,3.23318665954068E-06,1.54514148596361E-10,1.24375216968143E-11,5.64488567432875E-07,-5.04309083812215E-08,3.39928573090826E-06,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/thump_proximal_Link.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/thump_proximal_Link.STL,,Mirrorthumb_proximal_link-3,thumb_proximal,thumb_proximal_joint,thump_proximal_joint,revolute,0,-0.014227,0,-0.17488,0.23736,-0.16787,thumb_metacarpal_Link,1,0,0,1.1,2.5303,-1.0472,0,,,,,,,,
thump_distal_Link,1.65618684180163E-07,-0.0117550891981017,1.1366609064185E-05,0,0,0,0.00417177764035474,1.6780928553031E-07,1.91856562375275E-11,2.694752026736E-12,1.15357239984326E-07,-1.25182560702848E-08,2.1956615213811E-07,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/thump_distal_Link.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/thump_distal_Link.STL,,Mirrorthumb_distal_link-3,thumb_distal,thumb_distal-joint,thump_distal_joint,revolute,0,-0.052,0,0,0,0,thump_proximal_Link,1,0,0,1.1,2.5303,-1.0472,0,,,,,,,,
thump_tip_Link,-4.85722573273506E-17,-4.16333634234434E-17,-3.46944695195361E-18,0,0,0,6.54498469497874E-08,1.63624617374468E-15,0,0,1.63624617374468E-15,3.85185988877447E-33,1.63624617374468E-15,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/thump_tip_Link.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/thump_tip_Link.STL,,tip-6,thumb_tip,A_thumb_tip,thump_tip_joint,revolute,0,-0.026529,-0.0017734,0.06675,0,0,thump_distal_Link,1,0,0,1.1,2.5303,0,1.2741,,,,,,,,
index_proximal_Link,-0.00223538742601201,-3.80544615179515E-06,0.0176439423080373,0,0,0,0.00195456379953392,2.51863526940901E-07,-3.10934654014144E-11,-6.36901300651623E-09,2.36343210839019E-07,-1.71663811116816E-10,9.30397543724724E-08,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/index_proximal_Link.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/index_proximal_Link.STL,,Mirrorindex_proximal_link-3,index_proximal,index_proximal_joint,index_proximal_joint,revolute,-0.0021349,-0.029578,0.080876,0.11819,0.14743,0.17422,base_link,0,1,0,2,2.2685,0,1.4661,,,,,,,,
index_distal_Link,0.00418325886379583,-8.45607972810303E-08,0.0153641608762859,0,0,0,0.00406279694173471,3.65266271559531E-07,5.6892108332606E-13,-1.02335061442931E-07,3.96961530855654E-07,7.7396138584356E-13,1.04991723103838E-07,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/index_distal_Link.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/index_distal_Link.STL,,Mirrorindex_distal_link-3,index_distal,index_distal_joint,index_distal_joint,revolute,0,0,0.032,0,0,0,index_proximal_Link,0,1,0,2,2.2685,0,1.693,,,,,,,,
index_tip_Link,6.69832245225876E-13,9.73495589695617E-12,2.23557283796083E-13,0,0,0,6.54498469497874E-08,1.63624617374468E-15,6.16297582203915E-32,0,1.63624617374468E-15,2.46519032881566E-32,1.63624617374468E-15,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/index_tip_Link.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/index_tip_Link.STL,,tip-7,index_tip,A_index_tip,index_tip_joint,revolute,0.011097,0,0.035739,0,0.48723,0,index_distal_Link,0,1,0,1,1,1,1,,,,,,,,
middle_proximal_Link,-0.00222419445309931,-3.61990820813788E-06,0.0203049526045434,0,0,0,0.00232190897281875,3.66885320718611E-07,-3.64303343703497E-11,-9.77995332041374E-09,3.5252138716754E-07,-2.58098211906238E-10,1.12242284171831E-07,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/middle_proximal_Link.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/middle_proximal_Link.STL,,Mirrormiddle_proximal_link-3,middle_proximal,middle_proximal_joint,middle_proximal_joint,revolute,-0.0045935,-0.010061,0.084993,0.039468,0.1483,0.057975,base_link,0,1,0,2,2.2685,0,1.4661,,,,,,,,
middle_distal_Link,0.00269750139301864,3.27210103738713E-07,0.0183076461156786,0,0,0,0.00491865752250277,5.88341898887764E-07,-1.34073376317885E-12,-1.04743131832206E-07,6.07118927271626E-07,-1.31817421243225E-11,1.11265454837883E-07,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/middle_distal_Link.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-lefthand-URDF-V2/meshes/middle_distal_Link.STL,,Mirrormiddle_distal_link-3,middle_distal,middle_distal_joint,middle_distal_joint,revolute,0,0,0.037,0,0.12654,0,middle_proximal_Link,0,1,0,2,2.2685,0,1.693,,,,,,,,
