Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00477210166218609,-0.00143682517693859,0.050518681369968,0,0,0,0.0306701603277963,2.22653142417882E-05,2.619146157182E-07,1.8532221192488E-07,1.55386679883247E-05,-1.26178696418883E-06,8.58493926893206E-06,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/base_link.STL,,base-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_metacarpal_link,1.51105893291988E-05,0.00707242532016975,-0.00420847293427094,0,0,0,0.00116019531148996,1.59239837111329E-07,-4.69100836631313E-09,4.92933775261587E-10,1.60913456568321E-07,-1.48146725871811E-08,5.13550255314669E-08,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/thumb_metacarpal_link.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/thumb_metacarpal_link.STL,,thumb_metacarpal_link-1,thumb_metacarpal,thumb_metacarpal_joint,thumb_metacarpal_joint,revolute,0.005619,0.019867,0.027825,0,0,-0.16787,base_link,0,0,1,0.5,2.6175,-1.5184,0,,,,,,,,
thumb_proximal_link,-4.57172872239675E-07,0.0250090110844873,-0.00175049403575901,0,0,0,0.013437308865305,3.23319869389856E-06,-1.19075992087717E-10,1.24443381455412E-11,5.64506002356025E-07,5.04129419740444E-08,3.39928434904953E-06,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/thumb_proximal_link.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/thumb_proximal_link.STL,,thumb_proximal_link-1,thumb_proximal,thumb_proximal_joint,thumb_proximal_joint,revolute,0,0.014227,0,0.17488,0.23736,0.16787,thumb_metacarpal_link,1,0,0,1.1,2.5303,0,1.0472,,,,,,,,
thumb_distal_link,-5.88258313588552E-09,0.0117544716247142,1.13324397438969E-05,0,0,0,0.00417181579838271,1.67793545309794E-07,7.15927847824152E-12,-6.80095370888918E-12,1.15362128819331E-07,1.2517499089377E-08,2.19553178338424E-07,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/thumb_distal_link.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/thumb_distal_link.STL,,thumb_distal_link-1,thumb_distal,thumb_distal-joint,thumb_distal_joint,revolute,0,0.052,0,0,0,0,thumb_proximal_link,1,0,0,1.1,2.5303,0,1.0472,,,,,,,,
thumb_tip,0,-8.79922039356273E-05,-1.73472347597681E-18,0,0,0,6.54498469497874E-08,1.63624617374468E-15,-6.16297582203915E-33,-4.93038065763132E-32,1.63624617374468E-15,1.00148357108136E-32,1.63624617374469E-15,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/thumb_tip.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/thumb_tip.STL,,tip-1,thumb_tip,A_thumb_tip,thumb_tip,revolute,0,0.026529,-0.0017734,-0.06675,0,0,thumb_distal_link,1,0,0,0,0,0,0,,,,,,,,
index_proximal_link,-0.00223495193290077,3.15874279788186E-06,0.0176402020319161,0,0,0,0.00195502251331252,2.51945688432676E-07,1.19772642527626E-11,-6.37275646674549E-09,2.36435336197133E-07,1.65019098402875E-10,9.30351046795666E-08,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/index_proximal_link.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/index_proximal_link.STL,,index_proximal_link-1,index_proximal,index_proximal_joint,index_proximal_joint,revolute,-0.0021181,0.029568,0.080876,-0.11819,0.14743,-0.17422,base_link,0,1,0,2,2.2685,0,1.4661,,,,,,,,
index_distal_link,0.00418341335261295,1.16596677458836E-07,0.015364336404132,0,0,0,0.00406296182843578,3.65279307173044E-07,-2.87250721751561E-12,-1.02338195662283E-07,3.96973276545597E-07,-3.6418238169009E-12,1.04994676979538E-07,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/index_distal_link.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/index_distal_link.STL,,index_distal_link-1,index_distal,index_distal_joint,index_distal_joint,revolute,0,0,0.032,0,0,0,index_proximal_link,0,1,0,2,2.2685,0,1.693,,,,,,,,
index_tip,0,6.93889390390723E-18,2.77555756156289E-17,0,0,0,6.54498469497874E-08,1.63624617374468E-15,-4.93038065763132E-32,0,1.63624617374468E-15,-1.23259516440783E-32,1.63624617374468E-15,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/index_tip.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/index_tip.STL,,tip-2,index_tip,A_index_tip,index_tip_joint,revolute,0.011097,0,0.035739,0,0.4756,0,index_distal_link,0,1,0,0,0,0,0,,,,,,,,
middle_proximal_link,-0.00222511101223748,5.25632286621502E-06,0.0203007776295122,0,0,0,0.00232228766449838,3.66996237195385E-07,2.68340899394266E-11,-9.79836587937118E-09,3.52645347928617E-07,2.57865582739015E-10,1.12233932527467E-07,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/middle_proximal_link.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/middle_proximal_link.STL,,middle_proximal_link-1,middle_proximal,middle_proximal_joint,middle_proximal_joint,revolute,-0.0045767,0.010051,0.084993,-0.039468,0.1483,-0.057975,base_link,0,1,0,2,2.2685,0,1.4661,,,,,,,,
middle_distal_link,0.0049863469326964,3.20968126441695E-07,0.0178210318376746,0,0,0,0.00491866388593896,5.54531291618193E-07,-3.82751343578468E-12,-1.61139292206417E-07,6.07133263023386E-07,-1.20501452509702E-11,1.45091109192225E-07,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/middle_distal_link.STL,1,1,1,1,0,0,0,0,0,0,package://brainco-righthand-URDF-V2/meshes/middle_distal_link.STL,,middle_distal_link-1,middle_distal,middle_distal_joint,middle_distal_joint,revolute,0,0,0.037,0,0,0,middle_proximal_link,0,1,0,2,2.2685,0,1.693,,,,,,,,
